Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Iris-setosa
3,4.7,3.2,1.3,0.2,Iris-setosa
4,4.6,3.1,1.5,0.2,Iris-setosa
6,5.4,3.9,1.7,0.4,Iris-setosa
12,4.8,3.4,1.6,0.2,Iris-setosa
14,4.3,3.0,1.1,0.1,Iris-setosa
15,5.8,4.0,1.2,0.2,Iris-setosa
23,4.6,3.6,1.0,0.2,Iris-setosa
25,4.8,3.4,1.9,0.2,Iris-setosa
51,7.0,3.2,4.7,1.4,Iris-versicolor
52,6.4,3.2,4.5,1.5,Iris-versicolor
53,6.9,3.1,4.9,1.5,Iris-versicolor
54,5.5,2.3,4.0,1.3,Iris-versicolor
55,6.5,2.8,4.6,1.5,Iris-versicolor
58,4.9,2.4,3.3,1.0,Iris-versicolor
60,5.2,2.7,3.9,1.4,Iris-versicolor
61,5.0,2.0,3.5,1.0,Iris-versicolor
62,5.9,3.0,4.2,1.5,Iris-versicolor
65,5.6,2.9,3.6,1.3,Iris-versicolor
66,6.7,3.1,4.4,1.4,Iris-versicolor
68,5.8,2.7,4.1,1.0,Iris-versicolor
71,5.9,3.2,4.8,1.8,Iris-versicolor
75,6.4,2.9,4.3,1.3,Iris-versicolor
78,6.7,3.0,5.0,1.7,Iris-versicolor
81,5.5,2.4,3.8,1.1,Iris-versicolor
82,5.5,2.4,3.7,1.0,Iris-versicolor
84,6.0,2.7,5.1,1.6,Iris-versicolor
99,5.1,2.5,3.0,1.1,Iris-versicolor
101,6.3,3.3,6.0,2.5,Iris-virginica
103,7.1,3.0,5.9,2.1,Iris-virginica
104,6.3,2.9,5.6,1.8,Iris-virginica
105,6.5,3.0,5.8,2.2,Iris-virginica
106,7.6,3.0,6.6,2.1,Iris-virginica
108,7.3,2.9,6.3,1.8,Iris-virginica
110,7.2,3.6,6.1,2.5,Iris-virginica
112,6.4,2.7,5.3,1.9,Iris-virginica
113,6.8,3.0,5.5,2.1,Iris-virginica
118,7.7,3.8,6.7,2.2,Iris-virginica
119,7.7,2.6,6.9,2.3,Iris-virginica
121,6.9,3.2,5.7,2.3,Iris-virginica
132,7.9,3.8,6.4,2.0,Iris-virginica
140,6.9,3.1,5.4,2.1,Iris-virginica
146,6.7,3.0,5.2,2.3,Iris-virginica
